,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
ITGA8,27,44,112,329,157,53,36,16,60,28,36,79
FAM188A,212,511,687,583,901,1038,466,696,288,1226,76,461
PTER,1,1,1,0,4,2,2,0,3,0,6,8
C1QL3,65,75,28,35,40,25,86,212,278,35,97,159
RSU1,879,536,103,435,506,300,440,11,158,930,109,212
CUBN,93,111,55,118,26,56,120,133,129,19,124,131
TRDMT1,18,213,49,238,167,264,133,184,16,42,243,13
VIM-AS1,24,49,74,51,67,30,61,57,21,2,14,23
VIM,8526,6704,2604,5369,18051,6324,1411,2525,3650,3940,3070,1731
ST8SIA6,5,9,6,3,4,2,8,11,7,16,4,8
ST8SIA6-AS1,0,0,0,0,0,0,0,0,0,0,0,0
HACD1,26,26,60,23,27,46,58,16,17,6,21,72
STAM-AS1,18,18,4,7,4,1,22,23,3,0,15,13
STAM,634,428,1005,517,657,678,53,1161,734,615,746,975
TMEM236,5,0,2,0,2,0,0,6,10,2,5,0
MRC1,0,1,3,2,9,3,2,6,1,0,5,1
MIR511,0,0,0,0,0,0,0,0,0,0,0,0
SLC39A12,0,0,0,5,3,3,1,0,2,1,0,0
SLC39A12-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CACNB2,363,66,359,91,322,39,199,70,291,131,213,323
NSUN6,906,622,195,457,477,88,410,563,74,422,605,467
ARL5B,135,703,728,599,119,593,398,601,476,608,103,752
MALRD1,14,5,3,16,5,1,7,1,12,1,7,12
LOC101928834,0,0,3,0,0,0,0,0,0,1,0,0
PLXDC2,710,931,981,703,235,164,385,1528,208,692,581,841
MIR4675,0,0,0,0,0,0,0,0,0,0,0,0
NEBL,315,1206,802,156,1568,52,267,1771,582,769,622,12
C10orf113,3,6,4,4,2,11,17,22,15,2,2,13
NEBL-AS1,10,1,0,0,6,1,0,5,2,2,1,0
RNU6-15P,0,0,0,0,0,0,1,0,0,0,0,0
CASC10,49,151,7,97,16,99,117,110,139,59,70,109
MIR1915,0,0,0,0,0,0,0,1,1,2,1,0
SKIDA1,3,259,344,57,170,88,147,315,204,111,175,378
MLLT10,615,568,147,478,198,97,592,503,403,543,1461,1362
DNAJC1,492,715,44,151,131,325,180,273,415,413,234,122
EBLN1,0,0,0,0,0,0,0,0,0,2,0,0
LOC100130992,3,0,2,3,1,1,3,3,1,2,0,0
COMMD3,4,2,23,14,21,22,10,24,4,9,13,19
COMMD3-BMI1,0,0,0,0,0,0,0,0,0,0,0,0
BMI1,16,15,15,13,5,3,7,7,2,6,2,9
SPAG6,3,8,2,42,4,53,7,102,111,0,27,40
LOC100499489,19,12,0,14,17,20,6,29,23,16,27,20
PIP4K2A,529,30,407,260,161,283,211,299,359,560,359,192
ARMC3,37,2,20,82,97,95,70,9,37,28,38,5
MSRB2,216,137,49,40,138,157,3,40,54,67,83,257
PTF1A,0,0,1,0,1,0,0,0,3,0,0,0
LINC01552,0,0,0,0,0,0,0,0,0,0,0,0
C10orf67,1,0,6,2,2,0,0,1,2,0,0,0
MIR1254-2,0,0,0,0,0,0,0,0,0,0,0,0
OTUD1,9,46,42,41,134,31,92,178,238,1,68,135
KIAA1217,200,152,190,166,387,249,30,101,55,84,27,203
MIR603,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP21,9006,1258,4675,7031,7552,9851,1077,4005,7492,2624,3147,568
PRTFDC1,184,26,94,190,4,163,208,106,108,111,100,63
ENKUR,226,63,84,242,47,102,87,229,117,116,62,11
THNSL1,231,157,157,74,28,197,109,161,138,324,147,167
LINC01516,1,0,1,1,0,0,0,0,0,0,0,0
GPR158-AS1,0,2,6,6,0,2,1,3,6,2,2,5
GPR158,414,329,163,25,94,85,79,47,10,201,44,225
LINC00836,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929073,0,0,0,0,0,0,0,0,0,0,0,0
MYO3A,64,29,30,12,145,66,120,18,77,22,12,17
GAD2,172,144,194,20,25,3,13,4,17,5,4,12
APBB1IP,0,0,0,0,0,0,0,0,0,0,0,0
LINC00264,0,0,0,0,2,0,0,0,1,0,0,2
LINC00202-2,0,0,1,1,1,0,5,4,45,3,9,14
PDSS1,48,106,122,34,69,49,63,7,45,133,77,125
ABI1,31,339,322,113,277,418,414,88,556,457,431,582
LINC00202-1,84,25,90,88,71,31,22,14,143,38,83,52
ANKRD26,2607,741,195,1111,959,1785,860,1930,2264,2063,448,2080
YME1L1,1876,1041,1578,251,1237,92,1546,1316,684,3297,309,1390
MASTL,110,98,19,129,35,201,99,84,6,250,22,299
ACBD5,1118,1221,1076,94,325,13,890,42,1015,751,1162,27
LRRC37A6P,18,29,11,13,10,3,35,18,16,5,2,10
PTCHD3,0,0,0,0,0,0,0,0,0,0,0,0
RAB18,1546,602,392,606,1434,602,975,1998,472,831,1531,2198
MKX,7,11,0,5,0,3,1,17,0,25,4,16
MKX-AS1,1,1,0,0,0,0,2,2,2,0,0,0
ARMC4,111,71,79,122,22,30,64,73,74,24,16,17
MPP7,155,8,68,61,75,134,107,204,146,297,154,137
MIR8086,0,0,0,0,0,0,0,0,0,0,0,0
WAC-AS1,57,94,22,517,314,425,175,323,405,249,236,90
WAC,5399,2063,1669,2603,2757,1231,384,5569,1370,388,2225,5531
BAMBI,180,74,30,83,2,81,81,9,66,144,73,78
LINC01517,0,0,0,0,0,0,0,0,0,0,0,0
LINC00837,0,0,0,0,0,0,0,0,0,0,0,0
C10orf126,0,1,3,3,14,7,9,4,4,3,3,9
LYZL1,0,0,0,0,0,0,0,0,0,0,0,0
SVIL-AS1,109,176,63,250,562,375,107,266,196,219,117,96
SVIL,1044,1201,401,2777,1719,1094,152,567,512,211,497,892
MIR604,2,1,2,1,2,0,0,0,0,0,0,3
MIR938,0,0,0,0,0,1,0,0,1,0,0,0
KIAA1462,102,51,174,360,403,456,16,293,32,81,111,71
LOC101929279,0,0,0,0,2,6,0,0,0,0,0,0
MTPAP,1997,272,822,1309,1134,29,1227,1650,735,416,14,1993
GOLGA2P6,22,1,11,6,22,12,15,18,5,1,1,12
MIR7162,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K8,41,122,119,71,113,24,3,359,90,140,131,145
LYZL2,0,0,0,0,0,0,0,0,0,0,0,0
SVILP1,1,1,1,12,1,0,0,2,9,4,4,0
ZNF438,146,56,111,132,62,284,7,335,190,145,173,232
ZEB1-AS1,177,89,19,29,69,24,71,127,59,128,203,51
ZEB1,3648,5185,1673,5604,5930,558,1691,5099,618,2657,1963,367
ARHGAP12,570,2269,2034,913,221,3001,1872,29,1277,1158,2724,2596
KIF5B,1725,4739,4934,1763,2102,1547,989,4591,9307,2271,3749,2923
EPC1,1373,358,319,843,177,103,38,0,324,65,549,1804
LOC102031319,0,0,0,0,0,0,0,0,0,0,3,0
LOC101929431,2,2,0,0,1,1,4,2,3,1,2,5
CCDC7,883,368,381,334,506,567,292,448,1,272,134,603
ITGB1,1791,165,2801,285,2146,2551,1608,1919,1412,2496,1756,93
NRP1,713,169,1189,1152,353,4,692,388,1062,420,1671,2447
LINC00838,0,0,0,0,0,0,0,0,0,0,0,0
PARD3,383,325,866,1537,2332,498,318,90,2011,2447,1054,145
PARD3-AS1,0,0,0,1,0,1,1,1,0,1,0,0
CUL2,973,597,910,111,667,634,794,128,669,288,1333,236
MIR3611,0,9,3,5,0,1,1,0,0,0,4,0
CREM,245,195,167,1,200,13,65,36,86,115,279,58
CCNY,1575,620,1308,243,822,267,106,908,1261,1478,1158,1898
GJD4,0,0,0,0,0,0,0,0,0,0,0,1
FZD8,40,15,29,8,6,19,18,15,52,73,2,96
MIR4683,0,0,0,0,0,0,0,0,0,0,0,0
PCAT5,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD30A,0,0,0,0,0,0,0,0,2,0,0,0
LINC00993,0,0,0,0,0,0,0,0,0,0,0,0
MTRNR2L7,2,1,0,0,0,0,0,1,0,0,0,1
ZNF248,2473,1109,1869,42,436,287,347,1768,411,1085,1439,3575
ZNF33BP1,1,29,2,15,1,1,3,18,76,0,4,3
ZNF25,564,423,1107,908,978,346,402,88,1893,1362,1481,1737
ZNF33A,524,406,1596,162,1549,1462,1377,3143,2362,1586,1003,1441
ZNF37A,144,1015,592,304,764,371,1085,335,1074,345,1060,1709
LOC100129055,21,7,4,21,1,14,15,10,31,5,3,13
HSD17B7P2,57,93,14,5,6,6,144,8,21,279,227,342
SEPT7P9,1,2,1,0,0,0,3,10,2,0,1,2
LINC00999,12,7,18,1,3,1,27,38,29,11,81,54
ACTR3BP5,0,0,0,0,0,0,0,0,0,0,0,0
LOC441666,80,360,33,3,13,31,131,193,214,130,375,57
CCNYL2,0,3,1,0,1,0,1,0,0,0,1,1
LINC00839,0,16,0,0,0,0,0,0,2,0,0,2
ZNF37BP,831,1178,154,732,544,18,1296,855,65,600,234,1672
ZNF33B,499,913,49,443,435,682,433,509,386,868,2,389
LINC01518,0,1,0,0,0,0,0,0,0,0,0,0
BMS1,1442,1402,899,947,378,290,930,210,744,135,363,590
LINC01264,0,0,0,0,0,0,0,0,0,0,0,0
MIR5100,0,0,0,0,0,0,0,0,0,0,0,0
RET,564,3927,525,159,471,412,33,173,172,51,338,304
CSGALNACT2,574,436,1091,239,744,43,907,1322,905,517,329,1108
RASGEF1A,24,23,38,33,20,50,27,4,12,5,25,6
FXYD4,2,0,0,0,0,0,0,0,0,0,0,0
HNRNPF,2576,745,479,1049,219,1064,44,1734,3265,1860,155,1480
ZNF487,37,10,98,87,130,68,32,26,24,100,53,28
ZNF239,69,110,3,37,58,159,70,124,181,350,151,108
ZNF485,39,34,95,32,42,16,35,4,57,49,92,39
ZNF32-AS3,12,9,9,4,1,4,3,3,13,7,8,22
ZNF32,351,10,465,431,508,522,484,495,167,25,307,231
ZNF32-AS1,1,0,3,0,1,0,0,0,6,1,2,4
ZNF32-AS2,14,5,4,1,5,13,3,5,18,4,1,6
HNRNPA3P1,4,0,0,1,1,3,3,1,10,9,1,6
LINC00619,0,0,0,0,0,0,0,0,0,0,0,0
LINC00840,0,1,0,0,0,0,0,0,0,0,0,0
LINC00841,0,0,0,0,0,0,0,0,0,0,0,0
C10orf142,0,0,0,0,0,0,0,0,0,0,0,0
CXCL12,36,13,8,241,161,189,31,136,102,35,9,54
TMEM72-AS1,28,21,42,19,25,20,54,63,32,58,20,3
TMEM72,8,2,10,12,5,6,2,4,1,0,0,1
RASSF4,729,548,351,129,56,327,192,296,96,432,250,153
C10orf10,5,64,11,9,4,32,23,25,4,49,45,11
C10orf25,89,22,19,46,96,64,38,37,3,21,33,28
ZNF22,55,101,319,222,160,78,195,173,390,300,248,267
RSU1P2,0,0,0,2,0,0,0,0,0,0,0,0
ANKRD30BP3,0,1,0,1,2,0,0,0,2,0,0,1
MIR3156-1,0,0,0,0,0,0,0,0,0,0,0,0
OR13A1,2,0,0,0,0,0,0,2,0,1,3,0
ALOX5,8,5,3,7,0,9,3,5,2,2,6,3
LOC102724323,3,0,0,2,4,1,0,1,1,3,2,0
MARCH8,77,338,532,325,326,576,243,936,123,302,404,432
ZFAND4,269,338,7,39,199,203,168,76,31,347,205,153
FAM21C,93,147,251,133,279,575,668,594,470,91,415,82
AGAP4,194,57,235,202,155,7,41,4,305,45,147,202
PARGP1,234,115,310,203,119,80,308,179,233,379,19,323
TIMM23,339,132,3,216,284,16,161,128,186,310,177,276
NCOA4,1257,823,552,993,1049,1297,780,1058,734,928,860,577
MSMB,0,0,0,0,0,0,0,0,0,0,0,0
AGAP7P,12,7,2,24,39,122,20,4,32,31,21,29
ANTXRLP1,0,0,0,0,0,0,0,0,0,0,0,0
ANTXRL,0,0,0,0,0,0,0,1,1,0,0,0
FAM25BP,0,0,0,0,0,0,0,0,0,0,0,0
ANXA8L1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00842,19,27,9,4,23,7,24,13,13,15,20,9
HNRNPA1P33,4,1,3,0,3,1,4,0,3,4,1,5
NPY4R,3,1,3,0,2,1,0,0,0,0,0,3
GPRIN2,47,60,95,117,135,115,14,48,49,80,76,135
SYT15,4,13,7,2,8,3,12,3,3,13,9,19
FAM35BP,2,0,2,1,2,4,1,0,0,2,0,1
GLUD1P7,17,1,28,5,8,1,1,7,38,4,13,6
BMS1P5,13,27,179,375,251,452,224,228,296,360,320,388
FRMPD2B,3,5,9,0,3,15,0,0,0,1,0,0
PTPN20,10,3,18,1,6,1,0,0,0,0,3,0
GDF10,22,97,23,85,34,10,3,2,1,1,1,1
GDF2,0,0,0,0,4,0,0,0,0,0,0,0
RBP3,0,4,0,0,0,0,0,0,0,0,0,0
ZNF488,26,4,15,40,66,14,29,28,49,11,49,107
ANXA8,1,0,0,0,0,0,0,0,0,0,0,0
FAM25C,0,0,0,0,0,0,0,0,0,0,0,0
FAM25G,0,0,0,0,0,0,0,0,0,0,0,0
AGAP9,82,183,209,21,212,228,4,30,30,24,4,8
BMS1P6,16,329,221,116,275,393,18,41,53,45,6,36
CTSLP2,0,0,6,1,0,0,0,0,0,0,0,0
FAM35DP,8,4,20,6,4,7,6,3,10,20,4,11
CH17-360D5.1,0,0,0,0,0,0,0,0,0,0,0,0
CTGLF12P,6,0,0,0,8,1,13,14,24,20,3,11
FRMPD2,11,15,11,65,45,24,6,7,5,0,0,0
MAPK8,1220,1665,1654,291,62,121,524,810,1524,3162,1096,509
ARHGAP22,25,51,54,5,45,22,15,0,11,1,7,16
WDFY4,4,2,0,1,0,0,0,0,0,0,0,0
LRRC18,2,2,2,5,2,1,0,0,0,0,1,0
MIR4294,0,0,0,0,0,0,2,0,0,0,0,0
VSTM4,1170,350,869,22,572,607,212,235,451,54,12,353
FAM170B-AS1,0,1,0,0,0,0,0,0,0,0,0,0
FAM170B,0,0,0,0,0,0,0,0,0,0,0,0
C10orf128,0,0,1,0,0,0,0,0,0,0,0,1
C10orf71-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C10orf71,0,0,0,0,0,0,0,0,0,0,0,0
DRGX,3,0,4,0,0,0,0,0,1,0,0,0
ERCC6,708,486,11,428,368,92,336,81,748,778,709,605
PGBD3,0,0,0,0,0,0,0,0,0,0,0,0
ERCC6-PGBD3,0,2,2,0,0,0,0,0,2,0,3,0
CHAT,13,69,29,15,8,15,32,48,32,76,80,24
SLC18A3,54,110,69,47,22,30,9,31,80,70,86,138
C10orf53,0,0,0,0,0,0,1,0,0,0,2,0
OGDHL,450,188,96,107,343,165,430,334,135,210,475,477
PARG,28,786,746,1000,273,223,8,1417,898,602,304,1146
TIMM23B,142,126,121,107,136,105,269,264,373,305,73,90
AGAP6,533,419,52,360,217,217,354,330,584,68,384,287
FAM21EP,1,0,1,14,2,47,20,27,2,7,10,3
FAM21A,874,612,168,226,477,447,13,662,793,503,561,292
ASAH2,5,28,19,13,36,24,5,37,15,9,24,40
SGMS1,266,203,308,204,434,417,237,199,379,487,282,451
SGMS1-AS1,19,5,6,27,14,15,19,32,23,6,0,21
ASAH2B,82,7,12,37,3,25,19,11,28,49,11,56
A1CF,0,0,0,0,0,1,0,0,0,0,0,0
PRKG1,416,35,137,535,553,269,171,378,6,178,267,393
LOC102724719,1,6,1,0,0,3,2,0,1,0,0,0
MIR605,0,0,0,0,0,0,0,0,0,0,0,0
CSTF2T,583,850,544,528,736,853,603,920,710,895,424,544
PRKG1-AS1,5,1,3,1,2,1,0,4,3,0,4,7
DKK1,44,11,11,6,10,5,6,2,8,0,2,31
LINC01468,0,0,0,0,0,0,0,0,0,0,0,0
MBL2,0,0,0,0,0,0,0,0,0,0,0,0
PCDH15,339,367,623,772,443,473,300,270,137,439,409,758
MIR548F1,2,0,0,0,1,0,0,0,0,0,0,3
MTRNR2L5,0,0,2,3,0,1,1,1,1,1,3,2
ZWINT,47,41,5,49,38,51,3,67,12,53,75,82
MIR3924,0,0,0,0,0,0,0,0,0,0,0,0
IPMK,854,215,498,472,379,215,400,626,195,111,598,348
CISD1,433,62,248,179,153,26,247,186,300,453,334,248
UBE2D1,143,232,83,89,274,370,70,566,59,35,661,349
TFAM,26,331,69,287,54,568,667,557,94,566,793,105
BICC1,510,391,257,201,298,390,256,49,211,120,165,57
FAM133CP,21,42,10,42,37,1,45,39,26,1,13,5
LINC00844,0,0,0,0,0,0,0,4,0,0,0,0
CCHE1,574,652,402,42,708,617,114,10,50,273,245,197
PHYHIPL,1345,2192,2059,97,3282,1829,1314,1251,411,392,1527,2042
FAM13C,180,58,382,61,132,128,258,463,567,184,90,801
SLC16A9,121,323,332,719,640,1110,206,557,277,424,148,78
MRLN,0,0,0,0,0,0,1,0,0,0,1,0
CCDC6,365,1184,632,713,1514,1559,548,163,2308,2675,2298,329
LINC01553,0,0,0,0,0,0,0,0,0,0,0,0
ANK3,2697,4547,8190,3131,11060,9171,11550,8227,7622,16713,3777,14868
CDK1,258,23,147,113,49,483,439,803,129,187,148,224
RHOBTB1,303,129,205,189,266,236,74,78,35,513,142,386
LINC00845,1,0,0,0,1,0,1,0,1,0,0,1
TMEM26,33,15,17,8,14,3,1,1,3,0,7,6
TMEM26-AS1,1,2,2,1,0,1,0,0,2,4,0,0
C10orf107,11,3,2,7,12,18,7,4,5,3,3,3
ARID5B,1897,1468,1761,262,1769,1674,1501,2538,735,1830,676,1992
RTKN2,130,96,44,31,4,31,138,93,32,101,38,89
LOC283045,0,2,1,0,1,1,0,1,5,0,1,3
ZNF365,20,4,83,10,55,56,27,63,109,73,2,9
ADO,753,197,625,30,174,83,61,314,139,247,893,1118
EGR2,3,1,1,17,8,3,0,1,3,1,1,1
NRBF2,368,31,219,28,99,212,34,130,187,348,58,98
JMJD1C,752,821,528,2174,1773,488,3122,286,3117,4094,1691,517
MIR1296,0,0,0,1,0,0,1,0,4,2,6,0
JMJD1C-AS1,1,3,6,1,5,4,1,6,4,6,5,2
REEP3,483,248,55,324,230,281,158,727,11,222,132,452
ANXA2P3,0,0,0,2,2,1,1,0,0,0,1,0
LINC01515,15,11,7,27,24,2,9,5,1,3,2,0
CTNNA3,35,9,23,86,38,111,6,4,12,2,8,10
LOC101928961,8,4,3,0,1,0,2,1,0,0,1,0
LRRTM3,1037,882,54,830,29,387,1077,440,955,993,935,1701
MIR7151,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC12,691,348,42,171,153,258,289,84,355,388,244,299
SIRT1,509,72,664,171,746,704,267,406,59,1127,733,417
HERC4,1470,1047,962,955,849,1022,383,695,545,507,450,360
POU5F1P5,9,10,1,5,1,1,8,12,21,0,6,1
MYPN,0,58,1,21,14,7,0,0,0,0,1,0
ATOH7,0,1,1,0,1,1,1,2,1,0,0,0
PBLD,109,94,67,10,95,128,42,84,56,42,19,20
HNRNPH3,4654,4380,1672,4465,1738,3704,3615,4482,2743,2558,2138,3405
RUFY2,939,336,518,1136,1229,1443,293,1904,2073,1431,773,2472
DNA2,49,12,37,75,42,56,2,84,209,263,490,61
SLC25A16,53,129,176,84,202,8,123,145,142,155,32,208
TET1,5436,141,134,3487,3205,523,1270,3524,964,1256,1039,1232
CCAR1,3436,105,2843,1780,2294,2359,1734,1390,2688,2435,1823,3016
SNORD98,18,2,5,3,3,1,12,10,7,2,7,4
MIR1254-1,3,2,2,0,2,0,0,6,3,0,0,6
STOX1,171,163,175,158,342,38,72,237,86,67,145,49
DDX50,199,199,260,124,513,212,291,830,904,1446,816,1181
DDX21,1013,74,1626,120,282,1357,398,1680,2496,1309,460,968
KIAA1279,830,683,1136,855,1209,352,888,354,79,1224,1224,389
SRGN,0,0,0,0,0,0,0,0,0,0,0,0
VPS26A,262,307,154,28,230,558,336,641,140,331,817,416
SUPV3L1,276,567,128,185,503,253,209,324,263,195,557,732
LOC101928994,0,0,0,0,0,0,0,0,0,0,2,0
HKDC1,7,3,9,4,27,4,3,22,6,1,12,5
HK1,2437,547,2849,3744,2457,1449,1459,1203,4371,2544,3157,236
TACR2,0,0,1,3,0,0,1,0,0,0,0,1
TSPAN15,17,24,30,10,5,63,10,9,55,61,58,38
NEUROG3,8,13,7,1,5,1,7,22,6,11,10,9
C10orf35,148,164,114,9,1,4,159,237,153,120,103,345
COL13A1,7,6,25,17,60,108,3,16,15,2,26,3
H2AFY2,271,906,385,453,197,569,199,43,460,314,996,1615
AIFM2,39,93,99,11,38,60,69,41,152,111,69,80
TYSND1,152,58,147,114,177,70,36,90,59,34,183,136
SAR1A,535,1051,145,637,835,915,341,977,712,1119,948,537
PPA1,845,109,273,348,459,375,471,298,191,464,604,816
NPFFR1,0,1,1,0,1,0,0,0,0,0,1,1
LRRC20,365,49,303,261,35,33,24,203,216,287,44,416
EIF4EBP2,1467,879,614,1575,3019,2374,2299,1376,2611,1311,1776,4340
NODAL,0,0,1,3,0,0,0,0,1,0,0,0
PALD1,233,162,145,193,55,20,40,342,299,115,244,514
PRF1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS14,45,20,26,1,25,24,32,6,8,0,35,15
TBATA,0,0,0,0,0,0,0,0,0,0,0,0
SGPL1,681,777,214,372,450,95,512,1117,489,781,433,537
PCBD1,39,154,161,187,29,225,206,159,87,12,218,206
UNC5B,89,72,279,233,476,304,50,89,433,164,86,243
UNC5B-AS1,6,5,2,3,0,2,0,1,0,0,1,0
SLC29A3,127,2,151,18,18,101,73,82,73,123,56,24
CDH23,573,76,179,302,290,204,37,201,493,1,191,383
LOC102723377,0,0,0,4,0,0,0,0,0,0,0,0
C10orf105,200,82,125,139,45,105,30,86,29,15,3,58
C10orf54,37,13,14,57,59,18,17,1,13,0,15,4
MIR7152,2,0,1,0,4,1,2,0,2,6,3,0
PSAP,14329,8592,7233,7294,7348,984,3845,11192,12039,6123,3947,9683
CHST3,893,26,1268,1501,980,362,1103,1362,1603,399,695,1891
SPOCK2,2946,2489,3554,1862,2534,2592,1153,1425,903,131,525,14
ASCC1,77,582,524,535,431,554,164,303,526,290,253,531
ANAPC16,350,261,198,251,231,355,115,13,27,222,453,182
DDIT4,406,961,49,1717,439,1376,369,642,693,908,750,708
DNAJB12,529,228,69,284,291,149,338,428,8,98,401,830
MICU1,238,463,49,98,832,116,51,533,579,642,239,861
MCU,230,97,379,127,307,107,16,224,264,72,207,101
MIR4676,1,0,0,0,0,1,0,1,0,0,0,0
OIT3,1,0,3,4,0,3,1,3,8,7,1,1
PLA2G12B,2,0,0,0,1,0,0,1,2,3,1,0
P4HA1,2793,1425,1071,2025,3842,1822,703,340,2523,1269,916,1282
NUDT13,25,19,11,13,14,10,25,20,3,3,8,21
ECD,794,249,550,86,234,530,117,560,79,608,242,741
FAM149B1,273,162,184,140,267,73,152,183,497,313,72,9
DNAJC9,67,48,176,324,510,544,556,78,403,317,393,32
DNAJC9-AS1,4,9,1,2,1,6,6,4,11,2,0,1
MRPS16,56,317,190,69,315,563,46,24,40,882,77,832
CFAP70,182,192,160,433,220,705,189,99,76,176,202,233
ANXA7,271,88,401,398,115,51,319,24,116,363,192,231
MSS51,54,39,82,95,93,99,86,221,255,202,27,173
PPP3CB,210,45,1770,563,829,222,1882,1664,1156,1348,1743,3343
PPP3CB-AS1,4,18,13,14,16,15,15,15,8,23,14,0
USP54,1080,1043,1539,280,1065,72,2101,58,128,1129,160,1034
MYOZ1,2,7,0,5,5,1,10,5,17,2,5,4
SYNPO2L,7,17,3,5,15,7,13,26,15,17,5,9
AGAP5,213,9,69,156,164,41,157,189,245,105,45,129
BMS1P4,358,258,49,231,44,229,120,307,264,128,216,45
GLUD1P3,163,82,103,98,110,155,81,106,287,103,29,8
SEC24C,3171,1130,349,1176,2079,88,1574,875,3177,2321,2554,412
FUT11,124,309,338,281,314,128,212,272,132,26,147,70
CHCHD1,30,36,21,10,44,2,3,37,42,48,83,4
ZSWIM8,447,3281,2391,1188,2226,2352,2839,178,2905,2770,1200,819
ZSWIM8-AS1,1,72,38,16,46,75,62,20,35,5,6,36
NDST2,32,149,367,34,370,116,149,485,319,317,522,245
CAMK2G,868,2024,1565,870,227,2596,1787,342,1496,303,1132,412
C10orf55,1,0,0,0,0,1,1,0,2,2,0,0
PLAU,2,5,12,3,7,15,2,4,5,1,0,16
VCL,102,290,100,299,1467,239,972,767,223,1417,1404,333
AP3M1,1219,118,1162,453,268,148,423,496,734,615,77,604
ADK,762,323,229,397,239,52,173,526,772,493,357,39
LOC102723439,0,0,0,0,0,0,0,0,0,0,0,0
KAT6B,2053,1009,2587,1143,911,779,1036,1623,679,1937,34,724
DUPD1,0,0,0,0,0,0,0,0,0,0,0,0
DUSP13,0,0,2,0,0,0,0,2,0,0,0,7
SAMD8,89,1032,16,938,1455,1804,920,798,347,1287,37,986
VDAC2,1561,1102,136,784,869,1132,1140,617,341,1833,1878,120
COMTD1,67,23,30,38,7,14,57,61,7,30,82,77
ZNF503,384,461,60,174,405,455,297,95,31,136,580,435
ZNF503-AS1,0,0,0,0,0,0,0,0,0,0,1,0
ZNF503-AS2,182,17,139,113,35,100,72,30,93,1,62,54
LOC101929234,64,53,25,5,16,55,59,0,33,5,10,8
C10orf11,22,4,2,9,7,5,5,26,10,6,13,19
MIR606,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1,1333,779,601,134,1714,995,720,1854,148,120,430,946
KCNMA1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1-AS3,2,0,2,0,0,0,0,0,0,1,0,0
DLG5,2944,2469,3167,3277,2462,367,2337,1232,514,4640,4423,3714
DLG5-AS1,15,2,20,14,4,28,14,32,17,3,14,21
POLR3A,150,986,1706,28,508,1298,940,977,1992,1235,1699,2229
RPS24,3800,1118,682,1644,2038,2045,262,2950,3308,593,566,1358
LINC00856,5,3,1,0,7,5,2,2,0,5,3,5
LINC00595,0,4,1,0,3,0,1,2,3,1,1,2
ZMIZ1-AS1,9,17,14,12,5,11,9,14,6,17,1,14
ZMIZ1,7468,2006,3018,1333,865,5820,123,3909,5814,8189,5606,12084
PPIF,156,23,103,122,121,121,112,6,275,240,46,222
ZCCHC24,249,308,60,509,352,155,68,37,12,40,5,37
EIF5AL1,12,13,4,16,33,36,12,41,48,26,41,37
SFTPA2,9,7,1,2,0,0,1,4,6,1,3,1
SFTPA1,0,0,0,0,0,0,1,0,0,0,0,0
BEND3P3,8,1,2,0,1,14,6,0,3,5,0,7
NUTM2B-AS1,357,67,184,75,79,52,225,122,86,398,243,36
NUTM2B,6,4,2,9,3,1,16,38,23,17,28,8
LOC642361,102,17,41,28,51,21,57,95,71,43,67,26
BMS1P21,24,21,3,7,11,1,25,0,13,26,8,9
MBL1P,22,8,3,10,10,1,26,9,26,10,9,15
SFTPD,1,0,1,11,5,8,11,2,9,8,8,1
TMEM254-AS1,74,24,38,19,76,129,4,143,47,100,30,114
TMEM254,319,233,87,255,346,140,86,28,180,160,115,105
PLAC9,0,0,0,14,5,1,0,0,0,0,0,0
ANXA11,108,117,41,39,123,6,77,63,28,79,47,41
LINC00857,1,0,0,0,0,0,0,0,0,0,0,0
MAT1A,2,5,1,6,1,3,1,0,0,0,3,0
DYDC1,2,1,0,2,2,5,0,1,1,0,1,0
DYDC2,0,11,7,20,15,5,5,17,10,3,17,7
FAM213A,1825,329,162,1910,497,587,579,1430,866,1341,1119,2527
TSPAN14,194,470,630,314,309,110,128,183,468,59,643,1074
LOC101929574,0,0,0,0,0,0,0,1,0,0,0,0
LOC102723703,20,32,27,15,16,8,13,22,7,40,42,21
SH2D4B,0,0,5,4,6,7,2,10,2,11,4,1
NRG3,632,172,58,274,132,761,238,113,93,277,304,216
NRG3-AS1,0,0,0,0,0,0,0,0,0,0,1,1
GHITM,739,902,697,194,943,104,398,820,436,223,1107,1110
C10orf99,0,0,0,0,0,0,0,0,0,0,0,0
CDHR1,232,67,113,188,71,534,46,649,960,229,116,590
